id	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
42	cac4c2699f3c4f1542b96260e12f7491	FJ040503.1.1702	98.619	362	2	3	1	359	362	1	0	638
43	1031b13a86df01b31ee78ae17eeb829c	AY485523.1.1775	91.977	349	28	0	1	349	398	50	7.42e-138	490
44	18bed4b251d470f4ac3999a8f4e3ac73	AF372769.1.1515	98.754	321	4	0	1	321	322	2	2.62e-162	571
45	00dd98f1ed6c0d4300441df01052b7d2	JN098328.1.1705	100	359	0	0	1	359	359	1	0	664
46	0f18c84cbdf8f6bbd87f8dddf9859357	AF448153.1.1819	91.316	380	28	3	1	378	420	44	4.8e-145	514
47	7c01a3210d362d4e9642a016eda6f6d5	MG826110.1.1712	93.681	364	22	1	1	364	367	5	5.88e-154	544
48	30328b716d8d27b96d487cbe859a0c06	KJ887405.1.1798	98.66	373	5	0	1	373	420	48	0	662
49	942a8e727ff6e1df5156afbf49dcb084	OL388464.1	100	363	0	0	1	363	365	3	0	671
50	e3840e024ab8adf7ba74b65124233db8	AACA01000199.1345.3141	100	361	0	0	1	361	410	50	0	667
51	6d21593f89e841915c9f1673519c6e5c	AB191412.1.1717	93.732	351	15	5	1	348	363	17	9.47e-147	520
52	b434337ad86249f190a1ee93df0cc8a8	KJ759247.1.1802	100	363	0	0	1	363	412	50	0	671
53	aa52f3300770897e3dcf1dd6ba89b3b8	AB191412.1.1717	93.182	352	15	6	1	348	363	17	2.05e-143	508
54	9736b0b7e1cc68c2be8b798eddef3e18	SIMON.RF9	98.077	364	7	0	1	364	377	14	0	634
55	dcc9212cd4108b9a855b84055ca7eb44	OQ396722.1	93.678	348	16	6	1	347	347	5	1.27e-145	516
56	1436e8e79a0dc7ec3a34a9db4c60446b	KJ925423.1.1709	100	362	0	0	1	362	362	1	0	669
57	55b1324c89205364934069e9fdad9704	AF124337.1.1797	96.1	359	14	0	1	359	422	64	9.49e-167	586
58	66fa94496a4d6e24ff7c51218941d15f	AB076630.1.1806	99.728	367	1	0	1	367	418	52	0	673
59	3601f84a5acf91cdadc894d50f298afb	ADDF02229097.157.2011	100	411	0	0	1	411	458	48	0	760
60	548bc3f411093d021ffec169a32d4419	AY620355.1.1267	100	369	0	0	1	369	395	27	0	682
61	b7505d5c024eda79c768d27575659b74	AB181898.1.1744	98.901	364	4	0	1	364	383	20	0	651
62	c0b92d1dd0f75f34892a06550da09c6c	SIMON.CB6	96.122	361	12	2	1	361	372	14	2.65e-167	588
63	bacc1e2730a503a3e88c7528f250cffd	AB430604.1.1755	98.291	351	6	0	1	351	398	48	1.18e-175	616
64	ff81064e16452d23162897002bce1c26	OR590999.1	94.167	360	17	4	1	357	359	1	1.62e-154	545
65	9b5034546c48e185e0281deea9ce69de	LC068842.1.1804	100	363	0	0	1	363	415	53	0	671
66	018f3b9abff3e5406057acdac118569e	JN093105.1.1761	99.72	357	1	0	1	357	398	42	0	654
67	756dbb0cf7d5318c3e19309ad991b094	OL388451.1	100	362	0	0	1	362	363	2	0	669
68	4b9cdbb4322fc41489bfcbd99f50d34f	FJ153758.1.1780	98.383	371	6	0	1	371	400	30	0	652
69	1aa84687dac768f60f6ce51acbbe767f	OL388464.1	99.725	363	1	0	1	363	365	3	0	665
70	06ad0751ad4c2101b468c02ec8a477fe	OQ396731.1	99.711	346	0	1	1	345	349	4	1.21e-180	632
71	0aefe8a6ad07bd0e184763d6c45fe8e2	JF268327.1.1663	98.623	363	5	0	1	363	428	66	0	643
72	d175c9ab186661e336b43ee1391c014f	AB181898.1.1744	99.451	364	2	0	1	364	383	20	0	662
73	8856d9b0dc5917f3ac299b95936df485	MH063509.1.1745	99.714	350	0	1	1	349	386	37	0	640
74	5a03be3321b9abe8fa1b7aa4206350fa	HQ912592.1.1512	92.593	351	22	3	1	350	348	1	3.45e-141	501
75	fc36d7189c7f25abf92d5913c2765553	AF022196.1.1803	100	364	0	0	1	364	414	51	0	673
76	e258c23e6067277200ad4757a1552524	AF372769.1.1515	99.065	321	3	0	1	321	322	2	5.62e-164	577
77	180b3452bd0100db9632699b3bc16938	AB191412.1.1717	93.447	351	16	5	1	348	363	17	4.4e-145	514
78	a5de86fdebcbab9feaa1311ed1894c56	AF279598.1.2385	92.02	401	25	5	1	401	444	51	8.37e-158	556
79	d1fce1dd2e55874e9f9586a0502e46cd	GBGO01022746.1.1787	98.626	364	5	0	1	364	401	38	0	645
80	a021946b763a060351a63e79b1565a5b	KU561179.1.1705	100	350	0	0	1	350	369	20	0	647
81	c60569c8186f798c26d7586604a1af8b	KU561213.1.1710	100	360	0	0	1	360	381	22	0	665
82	1f669025cb949631f5cb850a28295b10	OR590942.1	99.435	354	0	2	1	354	354	3	0	641
83	202f4d5f002b3ebce1500ce92aa00558	KP404871.1.1804	100	357	0	0	1	357	406	50	0	660
84	10d880498192b52c708862921be98951	AY664893.1.1754	98.901	364	4	0	1	364	393	30	0	651
85	694af31ca1f269d678fb408bc061bcb8	SIMON.SLH10	96.676	361	12	0	1	361	375	15	3.41e-171	601
86	241c6fe743cac69f15b48a3bba6b7812	KJ925457.1.1506	99.725	363	1	0	1	363	363	1	0	665
87	9c9d764f1841891a46f85f83b3960890	JN093105.1.1761	100	357	0	0	1	357	398	42	0	660
88	014bc2083f18439f507c10830c775f2b	JF791067.1.1777	100	361	0	0	1	361	410	50	0	667
89	c3e8b6b2e02b8fd75cd555e925a76627	GQ921337.1.1778	91.413	361	30	1	1	360	410	50	5.93e-139	494
90	5c22b7de7cd36ff102f391d2120b948e	DQ790079.1.1845	100	387	0	0	1	387	434	48	0	715
91	1d865eb42dad4ec0d1d56875cf525961	EF591327.1.1704	97.568	370	9	0	1	370	370	1	0	636
92	746f2f87483ebdb731e43dd7193b66cb	MZ476003.1	92.562	363	25	2	1	363	382	22	9.88e-147	520
93	374fb6fcbdfca2dfd9c137ed41c80b00	KJ887451.1.1778	94.215	363	19	2	1	363	398	38	9.74e-157	553
94	15aa1ab5b96184eb2d2b81211036f743	SIMON.RF9	98.901	364	4	0	1	364	377	14	0	651
95	b01fd635559bed250160f19bf9dd1574	SIMON.CB18	95.58	362	15	1	1	362	372	12	1.6e-164	579
96	85ffef6ece55f1a55a1abec894e175c5	EF591333.1.1699	95.868	363	13	2	1	362	362	1	9.69e-167	586
97	f1764441376dd083497c373dde870f1c	FJ832156.1.1753	97.345	339	9	0	1	339	394	56	5.37e-164	577
98	bfcc6ae5e59231ca4a2138289aaa711f	AAXK01002636.1452.3220	100	350	0	0	1	350	398	49	0	647
99	febc6ca55a936c568856d49bceadc9fd	M87334.22.1763	100	350	0	0	1	350	379	30	0	647
100	289dee07921b8ee593796c5ec87b66cd	AY854211.1.1404	97.23	361	9	1	1	361	378	19	5.66e-174	610
101	90795e8908639b390d2cf7527be26522	AB191412.1.1717	93.447	351	16	5	1	348	363	17	4.4e-145	514
102	fa8fa756c907d0c6ec8c8dd57cce3687	EU380293.1.1808	96.978	364	11	0	1	364	414	51	1.59e-174	612
103	743e2959d3da683ef549b00e92bd257c	FJ832156.1.1753	95.87	339	14	0	1	339	394	56	1.17e-155	549
104	acd27ed12d8cf10e166f0035934fae66	AB191412.1.1717	94.017	351	14	5	1	348	363	17	2.03e-148	525
105	63bcf450728ae737470b660420722295	OQ396722.1	94.54	348	13	6	1	347	347	5	1.26e-150	532
106	ec0b8696e1103f4335ac6884a08db1d5	KF130592.1.1764	94.55	367	17	3	1	365	396	31	4.52e-160	564
107	c7ad04876bd69e193733cdf83f8e3395	OR590970.1	96.936	359	10	1	1	359	358	1	3.47e-171	601
108	98143dfea86008f21e171b0b8a174b64	HQ660595.1.1813	99.729	369	1	0	1	369	420	52	0	676
109	4767b13635e03a556cd79b9dd59b03c2	AC256215.2907.4706	99.454	366	2	0	1	366	414	49	0	665
110	cdd65269dbd0b1f9aab81d13b7c828de	SIMON.CB6	97.222	360	9	1	1	360	372	14	2.03e-173	608
111	37b33dbc7e0025f4353bc29a60ffd133	SIMON.GV9	96.676	361	12	0	2	362	374	14	3.42e-171	601
112	0b085e0822bf6a70356e399a1c14d261	AWOL010411020.1046.2616	100	366	0	0	1	366	414	49	0	676
113	16bed9ac00ed585f65ef5ecaf13871ea	KC488567.1.1709	99.176	364	3	0	1	364	364	1	0	656
114	53c3b67bf2143d223d60f32d5ae2b633	DQ103803.1.1794	100	358	0	0	1	358	409	52	0	662
115	5bfcc3da8a9ab4c078be500655b2b279	FJ832156.1.1753	96.755	339	11	0	1	339	394	56	1.16e-160	566
116	e10f558ca0e1ed94b85477bad284109f	SIMON.SLH10	96.676	361	12	0	1	361	375	15	3.41e-171	601
117	46dc508dea3875f6dad2e3d8b639f20a	KY322507.1.1732	99.43	351	2	0	1	351	372	22	0	638
118	7585fb755f83a3e71d599bd5ad14cac3	HQ660595.1.1813	95.664	369	6	5	1	359	420	52	3.41e-166	584
119	2dbcc0254c25952a0154f98ac2e93983	EU380285.1.1786	95.082	366	16	2	1	365	414	50	2.09e-163	575
120	20c12a830da48406baa90040df64965f	MN786738.1	98.343	362	6	0	1	362	362	1	0	636
121	4427d347947e75ae15dd3e85a1b138a8	SIMON.CB6	97.222	360	9	1	1	360	372	14	2.03e-173	608
122	1473ddbea0ab7d10211452d706f631b4	JN397377.1.1769	100	361	0	0	1	361	403	43	0	667
123	ba72e4cc961be87d591578207eb4229f	HM564603.1.1577	99.048	315	3	0	1	315	315	1	1.22e-160	566
124	c2c9dc482f9c552d5c10ad11681d3068	MH063457.1.1671	97.714	350	7	1	1	350	399	51	9.17e-172	603
125	abcc241c72f82c3706174a2ceddc96b2	SIMON.RF9	96.429	364	12	1	1	363	377	14	1.23e-170	599
126	c90b7f883a43799c3a7a306f5a50d26a	SIMON.CB6	96.122	361	12	2	1	361	372	14	2.65e-167	588
127	71d04157fa16e1d8bbe5134bd1490d25	SIMON.CB6	98.886	359	4	0	1	359	372	14	0	641
128	84d330ddb2b9cdf2c68cf1b59b3d31cd	HQ912626.1.1750	97.421	349	9	0	1	349	400	52	1.53e-169	595
129	5398dd7ac5cf2c9e9d3465f519a9a2fd	AIHU01000836.4.1780	100	359	0	0	1	359	399	41	0	664
130	f6e504543e12cd9f5e7afe76babe5ac2	SIMON.CB6	97.493	359	9	0	1	359	372	14	4.35e-175	614
131	786bc721be1d82710517dc6d6cc976e2	KT346266.1.1789	99.721	358	1	0	1	358	409	52	0	656
132	9d8bace9cd6f3963848caf2b14214b12	DQ514876.1.1765	100	363	0	0	1	363	405	43	0	671
133	3ae03614b3d1f9f0e38013f63ea63702	EF591327.1.1704	97.297	370	10	0	1	370	370	1	4.52e-180	630
134	54c7e1c7d58adf74cbda02cbed794309	KF177772.1.1716	100	349	0	0	1	349	359	11	0	645
135	985fddfddec14fe8ea1d869c23f4d52a	EU567275.1.1302	98.397	312	4	1	1	312	311	1	4.52e-155	547
136	0260d877b4b0ca66f026e5fe505623da	GQ120120.1.1635	100	359	0	0	1	359	389	31	0	664
137	5fecd8e5160271b38228a3b84a2645ae	KC736616.1.1688	95.714	350	13	2	1	348	356	7	1.55e-159	562
138	d34a6fd4e5a92879d461502c44bdfbf6	SIMON.SLH10	96.122	361	14	0	1	361	375	15	7.38e-168	590
139	22c1707518d2b09d202a0f740d3b3b63	HM746727.1.1762	100	369	0	0	1	369	419	51	0	682
140	e74ddcecff102e0e1c8579dc68c64d02	AB191410.1.1725	99.725	364	1	0	1	364	364	1	0	667
141	6c5714996ba4f3d1ec2935e81e92b631	AB275002.1.1662	92.121	330	22	4	8	336	327	1	1.58e-129	462
142	9347a189bc03f3481246c4f8dd21d036	MG669881.1	96.369	358	11	2	1	357	377	21	2.62e-167	588
143	cfd63bfe885e76c442fdb301c147e2c0	EF591333.1.1699	96.694	363	9	3	1	361	362	1	3.45e-171	601
144	45fd05ff1e001c606277e458caa9e8d2	AF192386.1.1794	100	359	0	0	1	359	409	51	0	664
145	b6e6ee30137e16649e9542792fbf5766	EU380295.1.1807	91.281	367	28	4	1	366	414	51	4.67e-140	497
146	99e8bcbd919b978e519a5203e40de631	MF077759.1.1744	98.634	366	3	2	1	365	396	32	0	647
147	7be9c9160a293168f1a3dfa066c8dd5c	AB284574.1.1789	98.324	358	5	1	1	358	388	32	5.57e-179	627
148	54edaaaa39e149a8fc5f20d723e52781	LC109080.1.1812	93.496	369	20	3	1	368	416	51	1.65e-154	545
149	c9d13b90408b345973b6ea91dbad2d1d	CBTL0103000725.1850.3590	100	366	0	0	1	366	414	49	0	676
150	6760d346fe37352c637f079bc499bbf1	AF038005.1.1776	99.725	364	1	0	1	364	394	31	0	667
151	46f7981606d4db4021dd5626d405627c	SIMON.SLH10	95.845	361	15	0	1	361	375	15	3.43e-166	584
152	43e32bc18d72d21af8a0bd981c2daa55	MT846146.1	96.122	361	14	0	1	361	367	7	7.38e-168	590
153	d5cf7fa9ba53b333fef5db7a1de53368	KC161253.1.1728	100	366	0	0	1	366	366	1	0	676
154	0c5904ee94d384a4b158bdba247cf0b4	KR611567.1.1729	100	361	0	0	1	361	387	27	0	667
155	15b51812e2aba477755fc59e1cb44951	EF591333.1.1699	97.238	362	10	0	1	362	362	1	4.44e-175	614
156	d0c945c4b2354e8fc802e2d0af08ad05	DQ103775.1.1634	99.429	350	2	0	1	350	401	52	0	636
157	e5c9ff93c05fccf5ddd236e231342d7b	MG669982.1	95.856	362	14	1	1	362	361	1	3.44e-166	584
158	0783e5147ac4ee91e3ae1f8eaefdf90e	EU380293.1.1808	96.703	364	12	0	1	364	414	51	7.39e-173	606
159	100ef2ed426dc2e296fa4746cdf3987f	AY179994.1.1783	100	349	0	0	1	349	399	51	0	645
160	ee761aeaedb5e84c7c9040713607a02c	AB252746.1.1726	99.449	363	2	0	1	363	363	1	0	660
161	fa5ceaf290b8c642c378910f497988c9	FJ040470.1.1691	100	353	0	0	1	353	353	1	0	652
162	7a19a7694781b7f11604ad97c8fe9640	KP187825.1.1232	95.393	369	14	3	1	367	398	31	3.49e-166	584
163	85da92d16e44b1a8a086a61ba2086ea5	AB275045.1.1719	100	364	0	0	1	364	364	1	0	673
164	02a97447e620c06d1506a26afba61666	MZ476003.1	92.837	363	24	2	1	363	382	22	2.12e-148	525
165	9f4aa2328d7d6240904ef257b261473e	AY775776.1.1817	92.5	360	26	1	1	359	407	48	4.54e-145	514
166	4d4c07243a32aba87ce1bcf9a2ff32c6	KC869828.1.1758	100	362	0	0	1	362	394	33	0	669
167	97d2441bd05d6322aa2d2e7a1c03c26d	FJ821480.1.1798	95.913	367	14	1	1	367	405	40	5.81e-169	593
168	2ff0241a6a5b0a8663d359954b6bac95	AB275019.1.1721	97.493	359	9	0	1	359	359	1	4.42e-175	614
169	ea7d58f9c7dbc028a59b9268f7fe4499	JN815322.1.1691	94.648	355	17	1	1	355	353	1	1.27e-155	549
170	a7c82b291f28482cc1230f4c6d2d7213	KR339020.1.1720	95.687	371	10	5	1	367	399	31	2.09e-168	592
171	49c0b7369e0bd85f7635178db941341f	KU180671.1.1722	100	365	0	0	1	365	365	1	0	675
172	1dacbd010105f0f21a5c069e7561f0ab	AJ841809.1.1800	94.505	364	20	0	1	364	414	51	1.62e-159	562
173	fbcbc531d00b7c3be404d0b2fffd2556	JN674064.1.1562	100	350	0	0	1	350	379	30	0	647
174	4fb4158d6d06e2ac774483c89108f569	AB191421.1.1734	100	365	0	0	1	365	365	1	0	675
175	22cf5efc5365b4ed2c0421cd0848ac03	AF274264.1.1757	93.169	366	23	2	1	365	394	30	2.74e-152	538
176	7f8dcdb273173788410884d0367c51ce	DQ103777.1.1786	100	365	0	0	1	365	416	52	0	675
177	02a6f3a26fe2b893c5026a9ae2b2185c	AY664893.1.1754	99.451	364	2	0	1	364	393	30	0	662
178	673fecd96605582e07a58eb53af83c10	AB217869.1.1806	100	362	0	0	1	362	411	50	0	669
179	ec5120b616464137896ff53a4d450aeb	HQ161101.1.1709	95.095	367	13	5	1	363	373	8	7.47e-163	573
180	aad3b2b94efa70ad2bee22d8c6d5eaea	EF591333.1.1699	96.961	362	11	0	1	362	362	1	2.07e-173	608
181	ae9eed033f9ad1a1daafaac2a05bc6cb	MG669750.1	99.446	361	2	0	1	361	361	1	0	656
182	0f30544737b9c307d69b5c0a1ea5d494	OR593570.1	94.556	349	16	3	1	347	350	3	9.84e-152	536
183	9d95f88464114cafdfe9a4152a00f031	AB275051.1.1738	100	363	0	0	1	363	363	1	0	671
184	01b6ccf30a8e695a6e715277c8f93514	OL388451.1	99.724	362	1	0	1	362	363	2	0	664
185	31c03dc6912515ad008a9b01c760ef82	HM564420.1.1588	97.492	319	5	3	1	319	316	1	2.09e-153	542
186	82ac61866f58f37a93927ff52d834bb9	MH063509.1.1745	98.857	350	3	1	1	349	386	37	7.01e-178	623
187	0c14da0790cb5e990f688ec4877bdc4b	SIMON.RF9	97.527	364	9	0	1	364	377	14	7.34e-178	623
188	e2f8bfe4e7fd15058b83e9f73c2e1d8c	AB252753.1.1720	98.077	364	4	3	1	362	363	1	4.42e-180	630
189	249df500985890282547b983b6ccbca4	JF730792.1.1690	98.611	360	5	0	1	360	360	1	0	638
190	8ec6a449b4952455acb06e9fc5ce8a83	SIMON.RF9	96.164	365	13	1	1	365	377	14	1.6e-169	595
191	3a8827d3bbd9bba284b66798fad0cab3	KT072998.1.1741	96.848	349	10	1	1	349	383	36	1.19e-165	582
192	efc1cf5be3c51c9f46d63da8cc5ba536	AB191412.1.1717	93.732	351	15	5	1	348	363	17	9.47e-147	520
193	ae4b8b494bfd4a756f8026e12def296e	OR714859.1	100	352	0	0	1	352	352	1	0	651
194	7b8eeb78bb89f01dc1c2c093774db953	DQ103863.1.1790	99.174	363	3	0	1	363	414	52	0	654
195	6a203bfc25fa5ac5b23f5319a40c0f5f	AJ535158.1.1766	96.793	343	9	2	1	343	391	51	7.03e-163	573
196	20122af316e27a86e5f96a960579d2c9	KY054972.1.1739	100	350	0	0	1	350	373	24	0	647
197	c721a9bcd6411f225a6cbf7250915d47	AM502013.1.1726	96.581	351	9	3	1	350	379	31	1.54e-164	579
198	7bccab2917862752025c67deff91977f	KY054994.1.1693	100	349	0	0	1	349	369	21	0	645
199	455834b7d567c5870fc4e94f1137006c	AY763147.1.1293	91.413	361	28	3	1	358	373	13	2.12e-138	492
200	599c41d39a649fbcfc746ee69189c21b	SIMON.WT6	100	373	0	0	1	373	386	14	0	689
201	0325a3dadb47796552bc687e6622439f	KX576665.1.1708	100	359	0	0	1	359	390	32	0	664
202	feb4d75816cb08fa2f65343912e6ed15	KC771199.1.1817	100	368	0	0	1	368	417	50	0	680
203	4c2b975cc7a428e3bf2ef13ae9a7dfd3	JX995305.1.1750	96.685	362	12	0	1	362	381	20	9.5e-172	603
204	d859da39e7eeff864aa088db60d3c41b	AB284574.1.1789	96.919	357	9	2	1	355	388	32	4.33e-170	597
205	582735a453268403cde0939cf8641fdd	AY928381.1.1792	99.229	389	2	1	1	388	409	21	0	701
206	4f05a51aa8677a62934db888d0c28292	AY894301.1.1899	100	381	0	0	1	381	428	48	0	704
207	dc23164b04a25b6696bbd5b9367ddd58	AB076638.1.1810	100	369	0	0	1	369	419	51	0	682
208	758cdd005d2f312d90fedd739cd3d9ea	OQ396726.1	97.391	345	9	0	1	345	353	9	2.66e-167	588
209	34ea83aeb30d417f29640c73d2377bac	GQ468543.1.1709	98.567	349	5	0	1	349	360	12	3.26e-176	617
210	3c01526b572845d5572424ed621fcacd	SIMON.GV2	98.072	363	7	0	1	363	375	13	1.22e-180	632
211	1c4bce380667c86a164a8d6be248f74c	LC054923.1.1797	92.582	364	24	3	1	363	445	84	9.88e-147	520
212	3262c271059208d338f8186840cb05e5	OR479913.1	97.953	342	6	1	1	342	342	2	2.05e-168	592
213	577f697a96dbe44d5da9a9059e4eea70	AJ519935.1.1762	98.904	365	4	0	1	365	395	31	0	652
214	ea4896694ce646c8f9e266d6bacf1968	OR590999.1	94.167	360	17	4	1	357	359	1	1.62e-154	545
215	36659064fcac9fecb18d27d249a9ba17	ADDF02229097.157.2011	100	410	0	0	1	410	458	49	0	758
216	20b6b813c764704f071398b0a43938a3	AB275082.1.1713	99.437	355	2	0	1	355	355	1	0	645
217	a6c5f345f741fb2db3679c295e134951	FJ153780.1.1783	99.451	364	2	0	1	364	393	30	0	662
218	01c7c80d42392815094ab96c84e3ed7d	FJ153758.1.1780	98.113	371	5	1	1	369	400	30	0	645
219	4017e18fb80f8404e7516341145e5505	EF123838.1.1776	98.118	372	7	0	1	372	401	30	0	649
220	dc8444ca687b7e77a8c48a2d61ccffc0	KC487001.1.1628	94.556	349	16	3	1	348	350	4	9.37e-152	536
221	6df7c5b5d12102fdfbd27d3e2403398e	MG669771.1	98.338	361	5	1	1	360	385	25	1.21e-180	632
222	5fce6631427083cac048da7952022d43	MG669893.1	98.892	361	4	0	1	361	361	1	0	645
223	10fdd30d20cd1a53a3fd65c45a885a9d	AY854218.1.1398	96.936	359	11	0	1	359	377	19	9.42e-172	603
224	ed53192b1e92c869d260cd1b46aaedf0	EU380309.1.1814	97.003	367	9	2	1	367	415	51	1.24e-175	616
225	72b5b3d490b5852d404ecea8acdd061b	DQ408759.1.1783	93.188	367	23	2	1	366	413	48	2.75e-152	538
226	4fb68863c1958f4e46aeb4133b92e172	SIMON.SLH10	97.23	361	10	0	1	361	375	15	1.57e-174	612
227	3e0cff48feb9e2598cb7e6e93bda1f0e	MG669982.1	95.014	361	18	0	1	361	361	1	3.46e-161	568
228	75246345bbae178bf65196a9604fa136	SIMON.CB6	96.944	360	10	1	1	360	372	14	9.45e-172	603
229	26f9bae9927fb8e168d851f9a377a494	AB284574.1.1789	96.919	357	7	4	1	353	388	32	1.55e-169	595
230	3f35ac841b73faee0f6df71a032bb265	JN185469.1.1713	98.901	364	4	0	1	364	364	1	0	651
231	027e249286e1b46552a6c56a85776b2a	SIMON.SLH10	96.953	361	11	0	1	361	375	15	7.33e-173	606
232	0a724d589cea71b27c83b54e791ffc3e	MF077759.1.1744	94.247	365	20	1	1	364	396	32	7.55e-158	556
233	28868c347b071e9fe4b771b8b652e3b0	KJ759247.1.1802	99.725	363	1	0	1	363	412	50	0	665
234	6b88dc61ad1e72627bc3ff0fb4ef1803	EU380308.1.1817	96.175	366	9	4	1	362	415	51	5.72e-169	593
235	1b3d63657a24b4dbc30db5b98b70930a	OR590999.1	98.333	360	5	1	1	360	359	1	4.39e-180	630
236	4d3a991833205d292fb1fe9277827df0	AB191412.1.1717	93.201	353	13	8	1	348	363	17	2.05e-143	508
237	4a3dfdf0199356e5570fc769829be233	EU380293.1.1808	95.055	364	18	0	1	364	414	51	7.5e-163	573
